Occurrence Number,Date,Registration,Classification,Type,Location,State,Aerodrome,Operation,Status,Link,History
85732,2024-10-12,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONFINS,MG,SBCF,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85732,"A aeronave decolou do Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao Aeroporto de Confins - Tancredo Neves (SBCF), Belo Horizonte, MG, a fim de realizar transporte de carga. Durante a fase de pouso, a aeronave apresentou falha no funcionamento do sistema de aquecimento do para-brisa do lado direito. Os procedimentos previstos foram realizados e o pouso ocorreu normalmente. Não houve mais intercorrências."
85727,2024-10-12,PTFEL,ACIDENTE,EXCURSÃO DE PISTA,ANGRA DOS REIS,RJ,SDAG,PRIVADA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85727,"A aeronave decolou do aeródromo Americana (SDAI), Americana, SP, com destino ao aeródromo Angra dos Reis (SDAG), Angra dos Reis, RJ, a fim de realizar voo privado, com um tripulante e três passageiros a bordo. Durante o pouso, a aeronave excedeu os limites da pista, ultrapassando a cabeceira oposta."
85733,2024-10-11,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RECIFE,PE,SBRF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85733,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto Senador Nilo Coelho (SBPL), Petrolina, PE, a fim de realizar transporte aéreo público regular. Durante o voo em rota, a aeronave apresentou falha nos dispositivos móveis das asas (SLATS). A tripulação realizou os procedimentos previstos e o voo retornou para o aeródromo de origem. O pouso foi efetuado sem intercorrências."
85731,2024-10-11,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RECIFE,PE,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85731,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo houve falha no sistema auxiliar de energia (APU). Os procedimentos previstos foram executados e o pouso ocorreu normalmente. Não houve mais intercorrências."
85730,2024-10-11,****,INCIDENTE,CORTANTE DE VENTO / TEMPESTADE,SÃO PAULO,SP,SBSP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85730,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação para pouso, a tripulação recebeu a mensagem de alerta de cortante de vento. Foram realizados os procedimentos previstos e o voo alternou destino para o Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ. O pouso foi efetuado sem intercorrências."
85728,2024-10-11,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,FAER,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85728,"A aeronave decolou do Aeroporto de Foz do Iguaçu - Cataratas (SBFI), Foz do Iguaçu, PR, com destino ao Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, a fim de realizar transporte aéreo público regular. Durante a fase de descida, ocorreu uma trinca no para-brisa do lado direito. Após a realização dos procedimentos previstos, a tripulação seguiu com a aeronave para o destino previsto. O pouso foi realizado sem intercorrências."
85726,2024-10-11,PRUEA,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,OURO PRETO,MG,FAER,POLICIAL,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85726,"A aeronave decolou de uma área para pouso eventual, no município de Ouro Preto, MG, com destino ao Aeroporto da Pampulha - Carlos Drummond de Andrade (SBBH), Belo Horizonte, MG, por volta das 20H00min (UTC), a fim de realizar um voo de translado, com seis tripulantes à bordo. Durante o voo, a aeronave impactou contra o terreno."
85725,2024-10-11,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NAVEGANTES,SC,SBNF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85725,"A aeronave tinha previsão de decolar do Aeroporto Ministro Victor Konder (SBNF), Navegantes, SC, com destino ao Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, a fim de realizar transporte aéreo público regular. Durante a fase de solo (estacionada) a aeronave apresentou mau funcionamento do sistema de pressurização. O voo foi abortado e a aeronave foi entregue à equipe de manutenção. Não houve mais intercorrências."
85723,2024-10-11,PSSLR,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,OURO PRETO,MG,FAER,***,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85723,"A aeronave decolou da pista Ponte Nova (ZZZZ), Ponte Nova, MG, com destino o Aeroporto da Pampulha - Carlos Drummond de Andrade (SBBH), Belo Horizonte, MG, por volta das 17h45min (UTC), a fim de realizar um voo de translado, com um piloto a bordo. Durante o voo, a aeronave impactou contra o terreno."
85718,2024-10-11,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,BRASÍLIA,DF,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85718,"A aeronave decolou do Aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante a fase de subida, o Sistema Anticolisão de Tráfego (TCAS) apresentou mau funcionamento. Os procedimentos previstos foram executados e o voo seguiu até o aeródromo de destino. Não houve mais intercorrências."
85721,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,SBGR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85721,"A aeronave decolou do Aeroporto de Confins - Tancredo Neves (SBCF), Belo Horizonte, MG, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante a fase de pouso, a aeronave apresentou falha no funcionamento do sistema de aquecimento do para-brisa do lado direito. Os procedimentos previstos foram realizados e o pouso foi ocorreu normalmente. Não houve mais intercorrências."
85717,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85717,"A aeronave decolou do Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mensagem de falha no sistema de ar condicionado. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85716,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MARABÁ,PA,SBMA,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85716,"A aeronave decolou do Aeroporto João Correa da Rocha (SBMA), Marabá, PA, com destino ao Aeroporto de Confins - Tancredo Neves (SBCF), Belo Horizonte, MG, a fim de realizar transporte aéreo público regular. Durante a fase de subida, a aeronave apresentou mau funcionamento do sistema de pressurização. Os procedimentos previstos foram executados e o voo retornou para o aeródromo de origem. O pouso ocorreu normalmente. Não houve mais intercorrências."
85715,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RECIFE,PE,SBRF,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85715,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante a fase estacionária, ao realizar a partida dos motores, houve falha no sistema auxiliar de energia (APU). Os procedimentos previstos foram executados e a partida foi realizada por meio de fonte externa. Não houve mais intercorrências."
85714,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85714,"A aeronave decolou do Aeroporto Santa Genoveva (SBGO), Goiânia, GO, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mau funcionamento do sistema de navegação. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85712,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,SBGR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85712,"A aeronave decolou do Aeroporto de Confins - Tancredo Neves (SBCF), Confins, MG, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou falha no mecanismo de seleção do equipamento de rádio navegação. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85711,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,SBGR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85711,"A aeronave tinha previsão de decolar do Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao Aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, a fim de realizar transporte de carga. Durante a fase estacionária, a aeronave apresentou mensagem de falha no sistema de proteção contra fogo. Os procedimentos previstos foram executados e a aeronave foi entregue para a equipe de manutenção. Não houve mais intercorrências."
85678,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,BRASÍLIA,DF,SBBR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85678,"A aeronave decolou do Aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante a fase de decolagem, a aeronave apresentou indicação de sobretemperatura do motor #2. A tripulação realizou os procedimentos previstos e após o pouso, a aeronave foi entregue à equipe de manutenção. Não houve mais intercorrências"
85677,2024-10-10,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85677,"A aeronave decolou do Aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante o voo em rota, a aeronave apresentou mau funcionamento do Sistema Eletrônico de Instrumento de Voo. Os procedimentos previstos foram realizados e o pouso ocorreu normalmente. Não houve mais intercorrências."
85735,2024-10-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SALVADOR,BA,SBSV,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85735,"A aeronave decolou do Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao Aeródromo Santa Maria (SBAR), Aracaju, SE, a fim de realizar um voo privado, com dois tripulantes e dois passageiros a bordo. Durante o voo em rota, ocorreu a perda de potência do motor. O voo retornou para o aeródromo de origem. O pouso foi efetuado sem intercorrências."
85713,2024-10-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85713,"A aeronave decolou do Aeroporto Santa Genoveva (SBGO), Goiânia, GO, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mau funcionamento do radar meteorológico. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85709,2024-10-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85709,"A aeronave decolou do Aeroporto de Confins - Tancredo Neves (SBCF), Confins, MG, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mensagem de falha no sistema de ar condicionado. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85708,2024-10-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GOIÂNIA,GO,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85708,"A aeronave decolou do Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao Aeroporto Santa Genoveva (SBGO), Goiânia, GO, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mensagem de falha no sistema de navegação. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85674,2024-10-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR,BA,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85674,"A aeronave decolou do Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou discrepância nos altímetros #1 e #2. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85729,2024-10-08,****,INCIDENTE,COLISÃO COM AVE,RECIFE,PE,SBRF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85729,Houve colisão com ave durante a fase de decolagem.
85705,2024-10-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85705,"A aeronave decolou do Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mensagem de mau funcionamento do radar meteorológico. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85704,2024-10-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO PAULO,SP,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85704,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mau funcionamento do sistema de pressurização da cabine. Os procedimentos previstos foram executados e o voo seguiu até o destino. Não houve mais intercorrências."
85703,2024-10-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONFINS,MG,SBCF,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85703,"A aeronave decolou do Aeroporto Tancredo Neves (SBCF), Belo Horizonte, MG, com destino ao Aeroporto Pinto Martins (SBFZ), Fortaleza, CE, a fim de realizar transporte aéreo de carga. Durante a decolagem, a aeronave apresentou mensagem momentânea de falha do velocímetro. A tripulação realizou os procedimentos previstos e o voo seguiu para o aeródromo de destino. Não houve mais intercorrências."
85688,2024-10-08,****,INCIDENTE,"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE, FOGO/FUMAÇA (SEM IMPACTO)",CURITIBA,PR,SBBI,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85688,"A aeronave decolou do aeródromo Campo de Marte (SBMT), São Paulo, SP, com destino ao aeródromo Bacacheri (SBBI), Curitiba, PR, a fim de realizar voo privado, com um tripulante e três passageiros a bordo. Após o pouso, observou-se uma fumaça intensa. Após a aeronave seguir para a taxiway Delta, constatou-se o furo do pneu esquerdo."
85675,2024-10-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR,BA,FAER,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85675,"A aeronave decolou do Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, com destino ao Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, a fim de realizar transporte de carga. Durante o voo em rota, a aeronave apresentou mau funcionamento no velocímetro direito. A tripulação realizou os procedimentos previstos e o pouso foi realizado no aeródromo de destino sem intercorrências."
85724,2024-10-07,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,FAER,TÁXI AÉREO,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85724,"A aeronave decolou do Aeroporto de Jacarepaguá - Roberto Marinho (SBJR), Rio de Janeiro, RJ, com destino à Plataforma Marítima FPSP (9PGR), por volta das 08h25min (UTC), a fim de realizar transporte de passageiros, com dois tripulantes e quatorze passageiros a bordo. Durante o voo, a aeronave apresentou indicação de falha de piloto automático #1 e #2. O voo retornou para o aeródromo de origem."
85655,2024-10-07,PTOSQ,ACIDENTE,"FALHA OU MAU FUNCIONAMENTO DO MOTOR, OUTROS",ITARIRI,SP,FAER,AGRÍCOLA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85655,"A aeronave decolou da área de pouso para uso aeroagrícola da Fazenda Agrícola São Francisco, no município de Itariri, SP, a fim de realizar um voo local de aplicação de defensivos agrícolas, com um tripulante a bordo. Durante o voo de aplicação, ocorreu a falha do grupo motopropulsor e a aeronave executou pouso de emergência em uma área de plantação."
85697,2024-10-06,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NAVEGANTES,SC,SBNF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85697,"A aeronave tinha previsão de decolar do Aeroporto Ministro Victor Konder (SBNF), Navegantes, SC, com destino ao Aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a fase de solo (manobrando), a aeronave apresentou mau funcionamento da bomba de combustível. Os procedimentos previstos foram executados. A aeronave foi entregue à equipe de manutenção. Não houve mais intercorrências"
85670,2024-10-06,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,FAER,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85670,"A aeronave decolou do Aeródromo Umberto Modiano (SSBZ), Armação dos Búzios, RJ, com destino ao Aeródromo Campo de Marte (SBMT), São Paulo, SP, por volta das 11h44min (UTC), a fim de realizar voo privado, com um tripulante a bordo. Durante o voo, ocorreu falha no equipamento de comunicação da aeronave. Após executados os procedimentos previstos, o pouso foi efetuado sem intercorrências no aeródromo de destino."
85698,2024-10-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,SBGR,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85698,"A aeronave decolou do Aeroporto de Confins - Tancredo Neves (SBCF), Confins, MG, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte de carga. Durante a fase de pouso, a aeronave apresentou falha no funcionamento automático do sistema de freio aerodinâmico. Os procedimentos previstos foram executados. Não houve mais intercorrências."
85668,2024-10-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,MARICÁ,RJ,SBMI,TÁXI AÉREO,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85668,"A aeronave decolou da Unidade Marítima UMPT (9PYZ), com destino ao Aeroporto de Maricá (SBMI), Maricá, RJ, por volta das 11h35min (UTC), a fim de realizar transporte de passageiros, com dois tripulantes e quinze passageiros a bordo. Durante o pouso, ocorreu o som característico do estol de compressor do motor #1. O pouso foi finalizado sem intercorrências."
85666,2024-10-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MACAÉ,RJ,SBME,TÁXI AÉREO,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/85666,"A aeronave tinha previsão de decolar do Aeroporto de Macaé (SBME), Macaé, RJ, com destino ao Helideque Ocean Courage - SS-75 (9PBS), a fim de realizar transporte de passageiros, com dois tripulantes e nove passageiros a bordo. Durante o táxi, ocorreu o estouro do pneu do trem de pouso principal esquerdo. A aeronave retornou para o pátio de estacionamento."
85656,2024-10-05,PRSRR,ACIDENTE,PERDA DE CONTROLE EM VOO,MISSÃO VELHA,CE,SBJU,INSTRUÇÃO,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/85656,"A aeronave decolou do aeródromo Clube Estância Ouro Verde (SNWE), Santa Rita, PB, por volta das 10h15min (UTC), com destino ao aeródromo Orlando Bezerra de Menezes (SBJU), Juazeiro do Norte, CE, a fim de realizar um voo privado, com um tripulante e um passageiro a bordo. Durante a fase de aproximação para pouso, ocorreu a perda de controle da aeronave, que veio a se chocar contra o solo."
